gameId,title,genres,price,release_date
1,Super Mario 64 DS,Action,24.95,2004
2,Lumines: Puzzle Fusion,Strategy,14.95,2004
3,WarioWare Touched!,Action|Racing |Sports,22.95,2004
4,Hot Shots Golf: Open Tee,Sports,12.95,2004
5,Spider-Man 2,Action,14.95,2004
6,The Urbz: Sims in the City,Simulation,12.95,2004
7,Ridge Racer,Racing,19.95,2004
8,Metal Gear Ac!d,Strategy,17.95,2004
9,Madden NFL 2005,Sports,8.95,2004
10,Pokmon Dash,Racing,24.95,2004
11,Dynasty Warriors,Action|Adventure|Role-Playing (RPG),14.95,2004
12,Feel the Magic XY/XX,Action|Adventure|Racing|Sports,8.95,2004
13,Ridge Racer DS,Racing,9.95,2004
14,Darkstalkers Chronicle: The Chaos Tower,Action,14.95,2004
15,Ape Escape Academy,Action|Sports,14.95,2004
16,Polarium,Strategy,8.95,2004
17,Asphalt: Urban GT,Racing|Simulation,14.95,2004
18,Zoo Keeper,Action,14.95,2004
19,Mr. DRILLER: Drill Spirits,Action,14.95,2004
20,Sprung,Adventure,8.95,2004
21,Armored Core: Formula Front - Extreme Battle,Action|Strategy,16.95,2004
22,Puyo Pop Fever,Action|Strategy,19.95,2004
23,Mario Kart DS,Racing,29.95,2005
24,Nintendogs,Simulation,26.95,2005
25,Brain Age: Train Your Brain in Minutes a Day!,Action,17.95,2005
26,Brain Agey: More Training in Minutes a Day!,Action,17.95,2005
27,Grand Theft Auto: Liberty City Stories,Action|Racing,17.95,2005
28,Animal Crossing: Wild World,Simulation,24.95,2005
29,Big Brain Academy,Action,16.95,2005
30,Call of Duty 2,Action,17.95,2005
31,Midnight Club 3: DUB Edition,Racing,14.95,2005
32,Need for Speed: Most Wanted 5-1-0,Racing,14.95,2005
33,Pokmon Mystery Dungeon: Blue Rescue Team,Role-Playing (RPG),14.95,2005
34,Sonic Rush,Action,14.95,2005
35,Star Wars: Battlefront II,Action,16.95,2005
36,SOCOM: U.S. Navy SEALs - Fireteam Bravo,Action,14.95,2005
37,Need for Speed: Most Wanted,Racing,17.95,2005
38,Zoo Tycoon DS,Simulation|Strategy,12.95,2005
39,The Sims 2,Role-Playing (RPG)|Simulation,17.95,2005
40,Mario & Luigi: Partners in Time,Action|Role-Playing (RPG),29.95,2005
41,Madden NFL 06,Sports,7.95,2005
42,Need for Speed Underground: Rivals,Racing,17.95,2005
43,Twisted Metal: Head-On,Action|Racing,14.95,2005
44,Perfect Dark Zero,Action,17.95,2005
45,Super Monkey Ball: Touch & Roll,Action,15.95,2005
46,Super Princess Peach,Action,29.95,2005
47,Burnout Legends,Action|Racing,14.95,2005
48,Madden NFL 06,Sports,4.95,2005
49,Clubhouse Games,Strategy,17.95,2005
50,ATV Offroad Fury: Blazin' Trails,Racing|Sports,12.95,2005
51,Untold Legends: Brotherhood of the Blade,Action|Role-Playing (RPG),12.95,2005
52,Tony Hawk's Underground 2: Remix,Sports,14.95,2005
53,The Sims 2,Simulation|Strategy,14.95,2005
54,WipEout Pure,Action|Racing,12.95,2005
55,NBA Live 06,Sports,9.95,2005
56,WWE Smackdown vs. Raw 2006,Action|Sports,14.95,2005
57,Dead or Alive 4,Action,17.95,2005
58,Phoenix Wright: Ace Attorney,Adventure|Simulation,24.95,2005
59,Spider-Man 2,Action,14.95,2005
60,NFL Street 2,Sports,17.95,2005
61,Kirby: Canvas Curse,Action,17.95,2005
62,Battlefield 2: Modern Combat,Action,16.95,2005
63,Yoshi Touch & Go,Action,17.95,2005
64,Tiger Woods PGA Tour 06,Sports,9.95,2005
65,Condemned: Criminal Origins,Action|Adventure,14.95,2005
66,Peter Jackson's King Kong: The Official Game of...,Action,14.95,2005
67,Castlevania: Dawn of Sorrow,Action|Role-Playing (RPG),17.95,2005
68,SpongeBob SquarePants: The Yellow Avenger,Action,13.95,2005
69,Marvel Nemesis: Rise of the Imperfects ,Action,17.95,2005
70,Kameo: Elements of Power,Action,11.95,2005
71,Advance Wars: Dual Strike,Strategy,17.95,2005
72,Trauma Center: Under the Knife,Action|Simulation,15.95,2005
73,Coded Arms,Action,12.95,2005
74,NBA LIVE 06,Sports,4.95,2005
75,Tony Hawk's American Wasteland,Sports,14.95,2005
76,Star Wars: Episode III - Revenge of the Sith,Action,16.95,2005
77,Capcom Classics Collection Remixed,Action,17.95,2005
78,Madagascar,Adventure,14.95,2005
79,X-Men: Legends II - Rise of Apocalypse,Action|Role-Playing (RPG),17.95,2005
80,Quake 4,Action,14.95,2005
81,Pokmon Trozei!,Strategy,19.95,2005
82,Need for Speed: Most Wanted,Racing,15.95,2005
83,Mega Man Maverick Hunter X,Action,17.95,2005
84,Metroid Prime Pinball,Action|Simulation,17.95,2005
85,NBA 06,Sports,9.95,2005
86,GUN ,Action|Racing|Role-Playing (RPG),19.95,2005
87,NBA 2K6 ,Sports,4.95,2005
88,Pinball Hall of Fame: The Gottlieb Collection,Action,9.95,2005
89,Harry Potter and the Goblet of Fire,Action,17.95,2005
90,Tony Hawk's American Sk8land,Sports,16.95,2005
91,MVP Baseball,Sports,4.95,2005
92,Tiger Woods PGA Tour,Sports,17.95,2005
93,World Series of Poker,Sports|Strategy,14.95,2005
94,SSX on Tour,Sports,16.95,2005
95,Tiger Woods PGA Tour 06,Sports,9.95,2005
96,Death Jr.,Action,9.95,2005
97,Harry Potter and the Goblet of Fire,Action,17.95,2005
98,MediEvil Resurrection,Action,17.95,2005
99,The Chronicles of Narnia: The Lion| the Witch a...,Action|Role-Playing (RPG),12.95,2005
100,Shrek SuperSlam,Action,11.95,2005
101,Virtua Tennis: World Tour,Sports,14.95,2005
102,Prince of Persia: Revelations,Action,6.95,2005
103,Burnout Legends,Action|Racing,17.95,2005
104,Meteos,Strategy,15.95,2005
105,Spyro: Shadow Legacy,Role-Playing (RPG),17.95,2005
106,The Con,Action,8.95,2005
107,Infected,Action,17.95,2005
108,Pursuit Force,Action|Racing,14.95,2005
109,Kingdom of Paradise,Action|Role-Playing (RPG),12.95,2005
110,Dragon Ball Z: Supersonic Warriors 2,Action,22.95,2005
111,Dragon Quest Heroes: Rocket Slime,Action,12.95,2005
112,Dead to Rights: Reckoning,Action,14.95,2005
113,Amped 3,Sports,14.95,2005
114,Break 'em All,Action,17.95,2005
115,Lunar: Dragon Song,Role-Playing (RPG),14.95,2005
116,Madden NFL 06,Sports,9.95,2005
117,Retro Atari Classics,Action|Racing|Simulation,12.95,2005
118,True Swing Golf,Sports,14.95,2005
119,FIFA Soccer,Sports,14.95,2005
120,Metal Gear Ac!d 2,Strategy,12.95,2005
121,ATV Quad Frenzy,Racing|Sports,14.95,2005
122,Bomberman,Strategy,17.95,2005
123,GoldenEye: Rogue Agent,Action,14.95,2005
124,Need for Speed Underground 2,Racing,22.95,2005
125,Frogger: Helmet Chaos,Action,19.95,2005
126,The Lord of the Rings: Tactics,Role-Playing (RPG)|Strategy,19.95,2005
